# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2016-01-19,543.682,543.682,543.682,543.682,000,543.682
2016-01-18,528.469,528.469,528.469,528.469,000,528.469
2016-01-15,535.645,535.645,535.645,535.645,000,535.645
2016-01-14,542.166,542.166,542.166,542.166,000,542.166
2016-01-13,556.81,556.81,556.81,556.81,000,556.81
2016-01-12,554.507,554.507,554.507,554.507,000,554.507
2016-01-11,554.774,554.774,554.774,554.774,000,554.774
2016-01-08,563.75,563.75,563.75,563.75,000,563.75
2016-01-07,565.381,565.381,565.381,565.381,000,565.381
2016-01-06,581.747,581.747,581.747,581.747,000,581.747
2016-01-05,590.268,590.268,590.268,590.268,000,590.268
2016-01-04,600.614,600.614,600.614,600.614,000,600.614
2015-12-30,610.259,610.259,610.259,610.259,000,610.259
2015-12-29,609.477,609.477,609.477,609.477,000,609.477
2015-12-28,602.156,602.156,602.156,602.156,000,602.156
2015-12-23,605.256,605.256,605.256,605.256,000,605.256
2015-12-22,589.898,589.898,589.898,589.898,000,589.898
2015-12-21,591.138,591.138,591.138,591.138,000,591.138
2015-12-18,590.145,590.145,590.145,590.145,000,590.145
2015-12-17,600.85,600.85,600.85,600.85,000,600.85
2015-12-16,603.806,603.806,603.806,603.806,000,603.806
2015-12-15,601.941,601.941,601.941,601.941,000,601.941
2015-12-14,585.424,585.424,585.424,585.424,000,585.424
2015-12-11,594.808,594.808,594.808,594.808,000,594.808
2015-12-10,604.348,604.348,604.348,604.348,000,604.348
2015-12-09,610.95,610.95,610.95,610.95,000,610.95
2015-12-08,607.172,607.172,607.172,607.172,000,607.172
2015-12-07,616.996,616.996,616.996,616.996,000,616.996
2015-12-04,614.633,614.633,614.633,614.633,000,614.633
2015-12-03,623.564,623.564,623.564,623.564,000,623.564
2015-12-02,632.594,632.594,632.594,632.594,000,632.594
2015-12-01,632.464,632.464,632.464,632.464,000,632.464
2015-11-30,628.758,628.758,628.758,628.758,000,628.758
2015-11-27,625.42,625.42,625.42,625.42,000,625.42
2015-11-26,628.284,628.284,628.284,628.284,000,628.284
2015-11-25,624.495,624.495,624.495,624.495,000,624.495
2015-11-24,624.846,624.846,624.846,624.846,000,624.846
2015-11-23,624.956,624.956,624.956,624.956,000,624.956
2015-11-20,625.806,625.806,625.806,625.806,000,625.806
2015-11-19,628.152,628.152,628.152,628.152,000,628.152
2015-11-18,627.122,627.122,627.122,627.122,000,627.122
2015-11-17,622.057,622.057,622.057,622.057,000,622.057
2015-11-16,613.11,613.11,613.11,613.11,000,613.11
2015-11-13,608.869,608.869,608.869,608.869,000,608.869
2015-11-12,611.50,611.50,611.50,611.50,000,611.50
2015-11-11,623.524,623.524,623.524,623.524,000,623.524
2015-11-10,624.036,624.036,624.036,624.036,000,624.036
2015-11-09,628.52,628.52,628.52,628.52,000,628.52
2015-11-06,626.891,626.891,626.891,626.891,000,626.891
2015-11-05,628.633,628.633,628.633,628.633,000,628.633
2015-11-04,633.766,633.766,633.766,633.766,000,633.766
2015-11-03,623.608,623.608,623.608,623.608,000,623.608
2015-11-02,617.923,617.923,617.923,617.923,000,617.923
2015-10-30,615.241,615.241,615.241,615.241,000,615.241
2015-10-29,615.487,615.487,615.487,615.487,000,615.487
